fam_age,inc,property_value,net_wealth
25,321228.44,0.0,76183.4375
26,348668.06,0.0,74689.55859375
27,378780.25,0.0,79629.609375
28,404283.5,0.0,86602.4921875
29,430117.7,725352.726973882,112311.27893744409
30,452701.12,1031360.9086659884,126162.46921321563
31,472585.56,1246699.9994863595,139616.5767630898
32,495289.66,1416704.5448708632,178067.54312354652
33,513910.44,1586709.0902553666,204821.73869286664
34,533484.0,1756713.6356398703,226933.7474904163
35,547744.44,1870049.9992295394,271591.3199020573
36,567491.44,2005741.9679236342,317141.78691675985
37,584900.75,2153390.908203712,381040.24822688394
38,601767.4,2210059.0899985465,440808.1875
39,609583.5,2266727.271793381,514229.05800329836
40,626895.8,2380063.63538305,593805.742104503
41,637314.44,2436731.8171778847,667480.6737897194
42,649752.1,2436731.8171778847,703245.4168898703
43,658683.25,2493399.998972719,815652.2137648703
44,663008.1,2550068.180767554,890132.5134924531
45,662748.9,2550068.180767554,937246.4992295394
46,665145.4,2606736.362562388,1033181.7352872619
47,666587.5,2606736.362562388,1065166.5947782202
48,670268.94,2606736.362562388,1137352.3116401217
49,669973.44,2663404.5443572225,1190644.162328494
50,665531.0,2663404.5443572225,1278981.3399985465
51,659778.06,2663404.5443572225,1338904.216489043
52,656508.0,2663404.5443572225,1399100.8402553666
53,650896.44,2663404.5443572225,1505299.8563435823
54,645188.9,2663404.5443572225,1544655.9995634058
55,639117.75,2663404.5443572225,1619328.4652553666
56,638491.56,2720072.7261520573,1724781.4194856328
57,631385.44,2720072.7261520573,1813076.9649985465
58,628871.1,2674738.1807161896,1876601.8515467783
59,623024.2,2663404.5443572225,1928645.9086788294
60,613990.5,2663404.5443572225,2059840.4710632605
61,598885.8,2606736.362562388,2138529.5554593694
62,587986.25,2550068.180767554,2220762.2604344143
63,566116.3,2550068.180767554,2296494.6042259606
64,545067.7,2550068.180767554,2409577.8684088048
65,525752.0,2527400.9080496198,2496145.8434161623
66,494580.47,2510872.5160109755,2553173.4473052043
67,474266.22,2481499.6807958037,2589613.4537804415
68,446764.44,2470732.7262547854,2580592.7485874887
69,430860.5,2436731.8171778847,2584768.51063987
70,413587.72,2323395.4535882156,2515352.4253192083
71,393774.2,2210059.0899985465,2394427.271664971
72,378593.1,2153390.908203712,2311241.9140372877
73,360552.9,2040054.5446140429,2227831.476665698
74,335201.5,1814486.8543660678,2024821.8461146243
75,320514.16,1700045.4538450358,1992960.9878192083
