fam_age,inc,property_value,net_wealth
25,305896.44,0.0,59543.3515625
26,329346.22,0.0,57249.6630859375
27,351237.66,0.0,51578.1357421875
28,371975.25,0.0,47414.87890625
29,388791.3,0.0,49918.34765625
30,408597.78,0.0,45517.0166015625
31,415510.0,0.0,45167.939453125
32,425987.7,0.0,42874.01171875
33,431664.44,0.0,43002.7578125
34,437864.88,0.0,39138.9453125
35,446842.12,0.0,37388.7744140625
36,455605.16,0.0,31425.23046875
37,457972.25,0.0,30913.36328125
38,460608.06,0.0,28470.7919921875
39,468890.94,0.0,33647.4765625
40,471929.06,0.0,24294.107421875
41,474595.94,0.0,29629.744140625
42,474071.44,0.0,22549.68603515625
43,475621.75,0.0,22422.13916015625
44,469981.72,0.0,23977.876953125
45,463052.88,0.0,20847.701171875
46,467295.88,0.0,25242.79833984375
47,462496.38,0.0,21824.921875
48,464096.66,0.0,24097.751953125
49,464407.06,0.0,24853.92431640625
50,467261.7,0.0,23395.525390625
51,459067.75,0.0,25804.29296875
52,457535.44,0.0,25890.36279296875
53,449954.84,0.0,37465.25390625
54,450464.25,0.0,36582.732421875
55,446665.97,0.0,36614.859375
56,448256.2,0.0,44775.232421875
57,440128.1,0.0,55952.853515625
58,448945.22,0.0,66632.28125
59,439369.94,0.0,80144.109375
60,429702.12,0.0,99717.541015625
61,420531.3,0.0,105661.181640625
62,413575.2,0.0,153619.8125
63,402416.0,0.0,187096.1015625
64,384273.88,0.0,197219.78515625
65,367006.38,0.0,266421.71875
66,333528.94,0.0,262442.328125
67,321278.25,0.0,295070.875
68,296052.84,0.0,292904.5
69,284838.38,0.0,275737.4375
70,270291.12,0.0,278378.9921875
71,258578.2,0.0,293344.6875
72,248539.38,0.0,296760.15625
73,238874.44,0.0,277263.9140625
74,232187.34,0.0,289853.6640625
75,226616.62,0.0,318958.59375
