fam_age,inc,property_value,net_wealth,mortgage_loans,io_share
25,249797.25,623349.9997431798,-418735.33121880586,562861.650168101,0.0
26,259336.64,589349.0906662791,-442563.39964997314,604271.86856704,0.0
27,290562.56,657350.9088200805,-506757.557308475,651795.4894754603,0.0
28,306838.5,691351.8178969813,-508628.8048569074,679374.7346470975,0.0
29,318522.44,736686.3633328489,-549212.2682766994,704637.5249096893,0.0
30,329779.5,759353.6360507826,-586796.0674955903,744557.9761282421,0.0
31,341282.7,770687.2724097496,-597926.3379725493,770163.5973826926,0.0
32,348157.25,804688.1814866503,-595250.4275306262,787178.2904556824,0.0
33,355954.0,793354.5451276833,-615768.9265005814,784030.4496769794,0.0
34,365091.25,816021.8178456172,-639590.649470199,815218.9057321298,0.0
35,372949.2,838689.0905635509,-656180.7048209526,825717.2686098045,0.0
36,376399.8,861356.3632814848,-663803.4086292821,824233.6802664158,0.0
37,379322.62,884023.6359994186,-651320.7494753355,845118.5051068112,0.0
38,389513.28,918024.5450763194,-663792.8361013953,841020.1754534997,0.0
39,395614.44,929358.1814352863,-628861.9100990454,840763.9306536053,0.0
40,396801.62,940691.8177942531,-659931.0954303555,827752.7556989659,0.0
41,404886.2,974692.7268711538,-621681.9936777147,840322.8817587869,0.0
42,403032.5,974692.7268711538,-613608.5836549641,807824.2773051765,0.0
43,403746.53,974692.7268711538,-592577.0005081284,794999.9711724601,0.0
44,401485.16,974692.7268711538,-573731.4305400492,771722.5113400503,0.0
45,399201.12,986026.3632301207,-564516.5086806463,731170.4895737577,0.0
46,395340.06,986026.3632301206,-553687.08928822,717888.5361742299,0.0
47,392890.97,974692.7268711538,-547934.9183023815,679925.3138088709,0.0
48,394546.62,986026.3632301207,-525522.3415908319,673435.1173225447,0.0
49,392006.8,986026.3632301207,-511497.5747732469,649253.3569325076,0.0
50,387036.6,963359.090512187,-488579.0370575179,611801.5452919378,0.0
51,382412.6,963359.090512187,-466902.68234956614,592953.847430703,0.0
52,382548.12,947333.3257460624,-448793.71980847494,578510.6649066536,0.0
53,372425.88,952025.45415322,-389608.8527648881,550546.9393731747,0.0
54,371734.78,918024.5450763194,-359505.8754006395,525361.9499035508,0.0
55,372560.75,929358.1814352862,-353170.0145727768,515951.56485342793,0.0
56,368586.4,918024.5450763195,-286921.3812598972,486744.76529946114,0.0
57,363647.47,884023.6359994186,-252575.0309977525,466812.73764667317,0.0
58,362102.6,895357.2723583855,-218073.55173171964,472227.5000254423,0.0
59,359791.3,884023.6359994186,-205585.91996256704,444788.82219674706,0.0
60,351337.28,884023.6359994186,-88682.39519921737,433582.606075364,0.0
61,342506.78,861356.3632814849,-50079.516817209245,431557.2757551984,0.0
62,325045.84,838689.0905635508,9020.402266891815,428425.2613534888,0.0
63,311561.34,838689.090563551,55249.957890133024,427017.89145306865,0.0
64,303811.16,838689.0905635509,106729.41956244409,400979.09948879655,0.0
65,285906.1,827355.4542045841,185575.65820371197,411970.5341342682,0.0
66,265989.84,827355.454204584,226876.94157023085,413522.9192196285,0.0
67,254804.62,793354.5451276833,237510.39158912355,399845.8357632635,0.0
68,245236.73,793354.5451276833,254465.78474543168,407195.74218423537,0.0
69,237605.56,793354.5451276833,276926.9419720762,405565.670426907,0.0
70,230459.06,770687.2724097497,292256.5903424978,400962.55673880345,0.0
71,220379.42,759353.6360507826,319617.29607339227,388114.4587750968,0.0
72,198865.42,714019.090614915,320470.08043807256,394888.1020963061,0.0
73,165962.75,680018.1815380144,320412.6739207916,381826.37537468754,0.0
74,143418.6,668684.5451790474,330186.48465813615,368398.15241822,0.0
75,133429.1,623349.9997431798,355645.4837635801,365580.05036338104,0.0
