fam_age,inc,property_value,net_wealth
25,364348.78,0.0,180398.25624999998
26,386833.38,0.0,178212.509375
27,416753.53,0.0,186587.2578125
28,436997.6,0.0,197655.0812499999
29,460752.88,0.0,217002.7156249999
30,481191.28,0.0,225268.71093750032
31,493311.9,0.0,242930.90937500025
32,509926.8,0.0,240336.54062500023
33,519915.3,0.0,257218.9453125
34,531374.5,0.0,246486.8781250001
35,539356.06,0.0,269103.946875
36,549299.25,0.0,256105.5546875002
37,562654.25,0.0,287768.09375
38,562568.4,0.0,261188.8281250007
39,574237.5,0.0,292771.75625
40,571662.94,0.0,287738.35937499977
41,579322.7,0.0,276826.67500000005
42,587566.3,0.0,270854.1156250004
43,578732.5,0.0,257957.09375
44,568971.56,0.0,283314.1281249997
45,574289.44,0.0,253858.03437500008
46,569678.8,0.0,267332.4718750006
47,574143.75,0.0,260431.3125
48,568925.44,0.0,292607.765625
49,566192.5,0.0,290086.953125
50,569890.06,0.0,268458.63437500026
51,557528.06,0.0,297330.28125
52,558231.4,0.0,307066.23437500023
53,556595.1,0.0,348581.73750000016
54,550435.8,0.0,334658.67500000005
55,546998.6,0.0,348910.66249999986
56,550861.5,0.0,387730.03125000035
57,539332.06,0.0,424487.0812499999
58,548526.25,0.0,494475.9499999999
59,535826.8,0.0,520163.53125
60,526302.44,0.0,532318.1687500002
61,504973.38,0.0,556643.225
62,511552.25,0.0,615330.8125
63,496235.03,0.0,690668.5250000006
64,476968.22,0.0,685635.9812500002
65,465265.22,0.0,775852.125
66,435428.25,0.0,775640.625
67,418901.1,0.0,795951.975
68,378819.8,0.0,801483.1000000003
69,363067.5,0.0,772212.21875
70,341992.75,0.0,760409.3125000002
71,322922.88,0.0,795822.3250000001
72,306792.4,0.0,787218.15
73,290277.8,0.0,730426.6812500001
74,277534.72,0.0,735621.46875
75,265423.75,0.0,777179.7250000002
