fam_age,inc,property_value,net_wealth
25,254841.47,0.0,-2533.1983642578125
26,278170.97,0.0,-15749.17724609375
27,303065.4,0.0,-25112.373046875
28,327728.3,0.0,-31013.1015625
29,349980.84,0.0,-31470.54296875
30,371592.84,0.0,-38078.0546875
31,385222.38,0.0,-41389.48046875
32,401823.3,0.0,-31874.283203125
33,416948.12,0.0,-30307.275390625
34,432408.12,0.0,-26985.7822265625
35,445775.56,668684.5451790474,-20641.515625
36,460725.28,929358.1814352862,-17757.8037109375
37,473946.2,1088029.090460823,-8844.376953125
38,488871.34,1190031.817691525,4146.71826171875
39,496668.88,1246699.9994863595,13113.3662109375
40,506000.97,1360036.3630760286,22716.05255495303
41,518340.75,1473372.7266656978,41687.251953125
42,519831.9,1473372.7266656978,54050.19921875
43,527316.1,1530040.9084605323,85722.4357012019
44,530306.06,1586709.0902553666,119028.90398904285
45,527688.5,1586709.0902553666,143482.26783553232
46,528438.25,1586709.0902553666,175262.3962797406
47,527720.7,1586709.0902553666,197766.28716156073
48,529284.56,1586709.0902553666,228765.13562726404
49,528925.5,1643377.2720502012,264629.64471125894
50,525944.0,1586709.0902553666,289848.14011135953
51,518336.84,1586709.0902553666,321994.6741624902
52,516267.16,1586709.0902553666,361061.75159398746
53,512955.47,1586709.0902553666,422653.87132579787
54,510289.84,1586709.0902553666,448848.6200148703
55,506508.12,1586709.0902553666,490154.2326276833
56,505240.22,1586709.0902553666,554415.1058803668
57,499334.84,1530040.9084605323,608317.6173896202
58,499804.38,1558374.9993579495,667186.7935858229
59,494309.78,1530040.9084605323,714741.3407951586
60,489869.6,1530040.9084605323,786176.8542871422
61,474995.0,1496578.3175652279,878606.3292045841
62,460676.6,1473372.7266656978,939472.0734994186
63,437790.7,1473372.7266656978,1005704.2146133161
64,421390.28,1473372.7266656978,1078715.4456571087
65,399468.3,1427584.8800936532,1165598.462500189
66,367020.28,1416704.5448708632,1206404.146857586
67,349335.12,1416704.5448708632,1236199.6700249552
68,333798.2,1416704.5448708632,1243368.9027553666
69,320489.84,1360036.3630760286,1213752.7601262298
70,306197.44,1246699.9994863595,1123265.5222813394
71,290486.84,1190031.817691525,1059638.840460823
72,275775.47,1088029.090460823,976044.4485507826
73,259558.81,974692.7268711538,869825.567691525
74,243877.0,816021.8178456172,759202.875
75,235417.61,680018.1815380143,698860.6875
