fam_age,inc,property_value,net_wealth
25,144017.64,0.0,-263293.6499999999
26,150032.11,0.0,-304172.559375
27,159236.66,0.0,-384686.06562499993
28,163732.98,0.0,-440745.86249999993
29,176177.44,0.0,-495755.04374999995
30,184170.64,0.0,-556102.975
31,189492.36,0.0,-606386.525
32,191470.0,0.0,-655501.625
33,201541.17,0.0,-671511.81875
34,200089.1,0.0,-682606.5125
35,201696.45,0.0,-747813.6124999999
36,207515.5,0.0,-783730.95625
37,216401.47,0.0,-779040.75
38,215801.16,0.0,-808398.075
39,218135.52,0.0,-862863.6875
40,229238.61,0.0,-892089.35
41,226731.44,0.0,-895966.4375
42,228345.84,0.0,-887865.39375
43,226078.12,0.0,-928127.875
44,229262.81,0.0,-888690.35625
45,221644.44,0.0,-878284.225
46,223592.84,0.0,-896615.0375
47,224440.53,0.0,-900078.53125
48,227155.12,0.0,-925235.2562499999
49,231075.58,0.0,-864942.25
50,229675.02,0.0,-885635.05
51,220362.47,0.0,-888564.3125
52,221498.72,0.0,-895247.81875
53,221017.78,0.0,-835922.7124999999
54,216373.67,0.0,-841303.48125
55,217345.66,0.0,-836098.975
56,214724.77,0.0,-786629.1375
57,212286.44,0.0,-753594.65625
58,214458.64,0.0,-787725.4999999999
59,209562.2,0.0,-745058.625
60,211319.19,0.0,-692827.83125
61,206760.08,0.0,-640253.5437500001
62,207061.83,0.0,-610205.9375
63,196047.36,0.0,-572741.68125
64,192695.03,0.0,-568731.325
65,181215.88,0.0,-520525.0625
66,156888.62,0.0,-445495.28125
67,133879.75,0.0,-406718.025
68,102729.29,0.0,-391130.65
69,98018.8,0.0,-340918.75
70,93281.73,0.0,-319929.0281249999
71,89918.47,0.0,-258441.2906249999
72,87360.82,0.0,-257729.71249999997
73,85175.71,0.0,-222355.26718750002
74,84238.77,0.0,-183523.540625
75,83010.336,0.0,-141141.971875
