fam_age,inc,property_value,net_wealth,mortgage_loans,io_share
25,458387.72,2153390.908203712,969926.2222556579,1603903.7602531915,1.0
26,480835.3,2210059.0899985465,819603.602313448,1802152.7992575127,1.0
27,512551.75,2380063.63538305,817598.0756072225,1987285.831181238,1.0
28,534086.8,2493399.998972719,859541.418525313,2101523.1367361723,1.0
29,562619.5,2663404.5443572225,907067.4781561941,2185825.68693544,1.0
30,590890.56,2720072.7261520578,912040.8914272187,2351947.499030998,1.0
31,627280.56,2946745.4533313955,993267.3194599514,2447024.145705826,1.0
32,651703.94,3110187.8350822437,1104811.5773701372,2541347.217852965,1.0
33,669702.9,3173418.1805107333,1114225.2891656978,2628316.5686771334,1.0
34,692604.9,3343422.725895237,1187093.5025811049,2645880.998909897,1.0
35,720103.5,3400090.9076900715,1266492.8783937832,2728774.1346207447,1.0
36,742544.7,3513427.2712797406,1329099.8350235014,2794103.644699829,1.0
37,766707.44,3683431.816664244,1463820.260023502,2842412.225328926,1.0
38,788450.25,3740099.998459079,1553270.6833684521,2832801.8849428855,1.0
39,804377.7,3796768.1802539136,1738537.0988699913,2834061.6081623663,1.0
40,819453.9,3966772.7256384166,1835249.0906156672,2888054.123290122,1.0
41,840960.5,4002097.507442047,1998329.6647434214,2913950.3129134523,1.0
42,865157.94,4167060.6528286287,2127566.278269759,2899997.474761202,1.0
43,888937.44,4250113.634612589,2269543.7125334963,2903066.1213199385,1.0
44,901497.9,4250113.634612589,2433682.7373055695,2902710.3150580837,1.0
45,899648.7,4363449.998202259,2525734.2692801775,2805137.2139692837,1.0
46,914336.1,4476786.361791927,2780377.952817758,2794270.4732987606,1.0
47,917221.06,4533454.543586762,2850671.862048748,2779837.858954707,1.0
48,929420.1,4590122.725381597,3055089.8597410005,2732815.0163380806,1.0
49,921488.9,4703459.088971266,3126181.520190072,2729942.922583264,1.0
50,927640.06,4901797.725253186,3253070.8440490384,2751843.85107824,1.0
51,909888.1,4831529.179827593,3445667.730623007,2690086.482696684,1.0
52,912266.56,4933962.561603585,3491162.9880980765,2696890.208888881,1.0
53,908207.75,5043468.179740272,3695489.284509861,2623157.413363259,1.0
54,895610.7,5032134.543381306,3850656.322178611,2620152.9852804965,1.0
55,887550.1,5100136.361535108,4021126.538817174,2589931.770870948,1.0
56,882252.8,5166778.143325847,4126987.988971266,2565056.9104931965,1.0
57,860196.4,5134137.270612008,4106547.0910956045,2509744.6924499855,1.0
58,856615.06,5122819.588798489,4277150.428712992,2492453.621331109,1.0
59,841631.75,5043468.179740272,4295464.655532783,2479370.3008064996,1.0
60,836844.8,5168138.179688909,4511526.972556574,2431035.174098414,1.0
61,795791.8,4843996.179822462,4451266.371197559,2326881.307604325,1.0
62,793494.94,4826995.725284001,4618544.516987165,2313581.227186805,1.0
63,770851.25,4930131.816150604,4740152.643927051,2309076.76582866,1.0
64,744712.7,4873463.6343557695,4965434.202689345,2303221.694903073,1.0
65,734814.75,4873463.6343557695,5014087.770894511,2247712.411949942,1.0
66,700567.7,4760127.2707661,5167455.661786791,2210902.0130741084,1.0
67,681519.25,4703459.088971266,5238603.026177739,2162383.796004098,1.0
68,648383.4,4703459.088971266,5215505.389130495,2147363.4211092866,1.0
69,637826.9,4703459.088971266,5370751.816330378,2191532.7093590884,1.0
70,616762.5,4590122.725381597,5371041.389228086,2092504.3727618882,1.0
71,593247.5,4386117.270920192,5190986.279971411,2064605.148609383,1.0
72,583971.7,4420118.179997093,5334928.216181422,2051518.3641767749,1.0
73,574313.9,4420118.179997093,5460100.97828191,1986459.205787579,1.0
74,538753.3,4193445.452817755,5174772.503594293,1934302.9992030673,1.0
75,529942.44,4023440.907433251,5352077.54242629,1917999.999209784,1.0
