fam_age,inc,property_value,net_wealth,mortgage_loans,io_share
25,410041.44,1586709.0902553666,432462.7925067083,1292201.2505076132,1.0
26,426283.25,1700017.127140502,391369.0302353253,1406634.1076704669,1.0
27,455412.7,1813381.8174347049,370759.3804485801,1528645.9993701978,1.0
28,470557.7,1926718.181024374,394108.28730257717,1646126.1365717961,1.0
29,494612.44,2040054.5446140429,416873.3943140097,1729711.512047359,1.0
30,514211.9,2153390.908203712,429098.62880375667,1824707.5202482205,1.0
31,535620.2,2266727.271793381,443439.85413304996,1897906.7914680624,1.0
32,557929.5,2380063.63538305,481594.97715441906,1952878.330515414,1.0
33,573012.44,2380063.63538305,508431.3752063955,2024209.2491660258,1.0
34,590401.44,2436731.8171778847,528781.3370559593,2037874.9991603955,1.0
35,607166.0,2550068.180767554,578581.6167770573,2098090.280678087,1.0
36,624429.25,2606736.362562388,600241.092041676,2117872.4175899364,1.0
37,638650.2,2663404.5443572225,680141.4649985465,2146286.63097573,1.0
38,653884.1,2720072.7261520573,740322.3294171651,2154255.086642447,1.0
39,660882.5,2720072.7261520573,811129.3055107333,2152893.6135230074,1.0
40,676948.4,2833409.0897417264,881611.2851184312,2182133.533100961,1.0
41,682463.44,2833409.0897417264,967699.7264088774,2171378.331322892,1.0
42,697061.9,2890077.2715365607,1025647.1579468916,2162360.926251607,1.0
43,704882.4,2944535.3056050334,1121410.766550492,2133811.678473369,1.0
44,712470.3,2946745.4533313955,1211204.431024374,2122458.830293047,1.0
45,714637.0,2946745.4533313955,1267647.0021463272,2077837.428206431,1.0
46,713609.6,3003413.63512623,1347503.4419210646,2034157.972701927,1.0
47,713632.3,3003413.63512623,1417906.6241396521,2017503.0388887888,1.0
48,718933.94,3003413.63512623,1522165.6612489098,1988467.2712307514,1.0
49,717479.8,3060081.8169210646,1573590.6297677718,1972529.218687318,0.99999994
50,712214.6,3116749.998715899,1697212.180895964,1944758.4966987595,0.99999994
51,708210.06,3071415.453280031,1748659.5787936717,1917999.999209784,0.99999994
52,702719.94,3116749.998715899,1796671.9595502014,1901812.860801453,0.89549625
53,698686.5,3116749.998715899,1906251.743716989,1861783.563082945,0.8430152
54,689225.5,3116749.998715899,1976962.3171640807,1834775.1837590726,0.8158713
55,684541.25,3136583.862344091,2075619.23791267,1795132.5236729053,0.79003847
56,680153.06,3173418.1805107333,2141258.6576900715,1773764.0569117093,0.75655484
57,670190.5,3116749.998715899,2209979.626825302,1719707.4638014804,0.76080793
58,668647.9,3116749.998715899,2306947.9066114267,1703717.2224780684,0.76120657
59,659879.44,3074702.2373695862,2366136.839870136,1713201.209819161,0.7971989
60,651155.2,3060081.8169210646,2524575.5899985465,1635695.0144585934,0.7632286
61,634991.75,2980746.362408296,2559627.1579468916,1575750.206903291,0.81911516
62,625615.5,3003413.63512623,2634094.3228201293,1566019.8836297998,0.99999994
63,603188.75,3003413.63512623,2734469.87448636,1552862.7440802206,1.0
64,580467.25,2946745.4533313955,2889706.299844091,1509842.119177945,1.0
65,562905.4,2935411.8169724285,2974213.703459806,1490289.8353860006,1.0
66,530874.25,2918581.322661181,3026222.436151694,1512533.3776593362,1.0
67,508763.88,2890077.2715365607,3045193.5335632605,1464542.9774066082,1.0
68,485164.72,2890077.2715365607,3092316.9424989102,1482485.498184216,1.0
69,471072.38,2833409.0897417264,3112122.522030753,1455803.8165952088,1.0
70,457370.7,2810741.8170237923,3136184.374075447,1417969.9407932963,1.0
71,440782.22,2720072.7261520573,3067635.50512732,1393666.7494258094,1.0
72,433464.97,2720072.7261520573,3077101.5442609154,1379626.67041425,1.0
73,419909.56,2674738.1807161896,3114899.998459079,1339722.9994480342,1.0
74,397859.94,2550068.180767554,2992932.3459605323,1311137.0315598114,1.0
75,388344.47,2436731.8171778847,3089512.1521556913,1305317.224982209,1.0
