fam_age,inc,property_value,net_wealth
25,190035.36,0.0,-113382.5703125
26,200982.28,0.0,-140990.49609375
27,217183.69,0.0,-176910.09375
28,229400.44,0.0,-197634.546875
29,241133.75,0.0,-223355.890625
30,251419.28,0.0,-247895.74609375
31,257027.6,0.0,-271519.03125
32,260239.25,0.0,-295802.59375
33,268122.2,0.0,-293771.90625
34,270280.78,0.0,-318243.421875
35,274277.06,0.0,-336409.53125
36,279229.47,0.0,-361831.171875
37,283950.2,0.0,-363702.65625
38,282450.47,0.0,-376251.671875
39,286649.3,0.0,-390241.0625
40,294158.16,0.0,-424063.3359375
41,292258.7,0.0,-417094.046875
42,292218.25,0.0,-412614.296875
43,291166.2,0.0,-432013.4375
44,290846.38,0.0,-415291.109375
45,286181.5,0.0,-399423.0
46,284182.1,0.0,-403668.75
47,281935.22,0.0,-417066.953125
48,286042.5,0.0,-420157.3203125
49,289150.0,0.0,-423441.40625
50,286779.1,0.0,-421484.5703125
51,277648.8,0.0,-406286.09375
52,278242.38,0.0,-410201.6953125
53,277022.78,0.0,-365462.4375
54,274071.5,0.0,-360897.8359375
55,270714.78,0.0,-362206.8671875
56,268990.66,0.0,-357078.859375
57,268852.8,0.0,-329995.2578125
58,271573.78,0.0,-321207.46875
59,262374.75,0.0,-301894.15625
60,265243.7,0.0,-277066.1328125
61,261964.33,0.0,-253857.84375
62,259777.61,0.0,-232600.6484375
63,255233.12,0.0,-208639.5546875
64,254297.28,0.0,-183388.37890625
65,242262.94,0.0,-134680.046875
66,229954.84,0.0,-117329.576171875
67,221102.61,0.0,-90077.9140625
68,205601.02,0.0,-78441.40625
69,187965.0,0.0,-52995.5390625
70,137614.1,0.0,-37344.6591796875
71,108362.68,0.0,-16871.6875
72,99571.66,0.0,-7250.999267578125
73,95150.055,0.0,-3317.180908203125
74,92876.74,0.0,3002.3893432617188
75,91714.34,0.0,5714.68115234375
