fam_age,inc,property_value,net_wealth,mortgage_loans,io_share
25,301150.72,861356.3632814848,-138429.1168788462,733079.1776829713,0.0
26,320649.25,895357.2723583855,-218986.9051575749,806436.0461677483,0.0
27,345326.62,974692.7268711538,-218729.1040293828,878826.6406379234,0.0
28,359606.2,1020027.2723070214,-228790.42163055122,902453.7633781891,0.0
29,373895.6,1054028.1813839222,-244414.08670796058,950368.999608448,0.0
30,388321.88,1088029.090460823,-280442.38121880585,1000612.3689702477,0.0
31,399769.2,1105029.5449992733,-287484.6545531084,1037860.9670724013,0.0
32,409783.7,1133363.6358966904,-283586.72639509727,1072161.9995582693,0.0
33,419028.72,1133363.6358966904,-289739.44623752235,1070156.2510590956,0.0
34,429150.78,1190031.817691525,-294107.76354287786,1104631.8215448917,0.0
35,436015.34,1190031.817691525,-300393.443975626,1104289.4105950326,0.0
36,444057.3,1246699.9994863595,-288235.83585399063,1132578.9995333774,0.0
37,452371.1,1246699.9994863595,-280329.49208430224,1137373.999531402,0.0
38,461416.22,1303368.181281194,-268283.98535138636,1149614.387826359,0.0
39,465595.6,1303368.181281194,-250489.76043347496,1151344.2224356462,0.0
40,471774.62,1360036.3630760286,-229497.24473142892,1148881.9995266607,0.0
41,480495.03,1416704.5448708632,-214996.01490496425,1144446.562193488,0.0
42,477429.6,1360036.3630760286,-189254.0131053445,1117943.969059407,0.0
43,480126.8,1360036.3630760286,-178516.82426987926,1111254.874534663,0.0
44,481908.3,1416704.5448708632,-151855.73476023035,1088649.1275514765,0.0
45,479077.94,1416704.5448708632,-115615.5603151498,1037829.1402599143,0.0
46,476623.0,1377036.817614479,-91930.54669506475,1016643.5715811428,0.0
47,474709.25,1360036.3630760286,-74270.31479971486,991763.0981763937,0.0
48,476060.97,1416704.5448708632,-55831.65217634721,978559.1210668335,0.0
49,472555.66,1360036.3630760286,-38985.11969267114,953806.7125220317,0.0
50,470841.06,1360036.3630760286,119.74848429113626,919994.6357759621,0.0
51,463710.22,1360036.3630760286,29106.818308363087,892730.2226321951,0.0
52,460878.9,1360036.3630760286,48017.48722781753,879836.0025225074,0.0
53,457193.12,1360036.3630760286,97819.67828718416,841789.1016531829,0.0
54,454652.4,1303368.181281194,138791.14301554114,813306.4276549178,0.0
55,451310.25,1303368.181281194,167665.36765036336,799729.9030205113,0.0
56,447612.3,1303368.181281194,204387.92326300312,776104.360232745,0.0
57,442467.4,1303368.181281194,256605.05093578238,748940.0690864366,0.0
58,442213.47,1303368.181281194,288265.6365263697,742910.4285139209,0.0
59,438534.94,1246699.9994863595,340406.6402654517,718903.4386813118,0.0
60,433344.97,1246699.9994863595,413111.14478830504,695237.3110135621,0.0
61,417294.28,1246699.9994863595,483437.1217108229,678882.7048328002,0.0
62,399482.38,1190031.817691525,522802.94577571563,666604.4767953589,0.0
63,377827.78,1190031.817691525,587192.9531639926,682539.000218794,0.0
64,363800.06,1190031.817691525,638413.6093497875,647746.0103231287,0.0
65,340768.0,1190031.817691525,744140.8433647696,639217.9397966422,0.0
66,313365.25,1190031.817691525,792907.8048549027,650410.7716345307,0.0
67,300825.25,1133363.6358966904,796721.4413551207,620822.4617417211,0.0
68,290834.0,1155860.9114556033,819320.208869158,623276.5451382101,0.0
69,281907.56,1153820.8347518984,827055.7012235912,614596.1973992863,0.0
70,273911.97,1133363.6358966904,830210.2083550481,607429.9524247389,0.0
71,265549.2,1100694.4512510593,849267.0552137389,591955.2623086144,0.0
72,255994.14,1088029.090460823,841101.899902784,600077.4432777681,0.0
73,246046.33,1065361.817742889,842018.1129219364,589784.9997570086,0.0
74,235180.64,1020027.2723070214,847701.8954184536,563786.5577177198,0.0
75,230579.55,991693.1814096041,829869.1858425705,573481.9997637254,0.0
