fam_age,inc,property_value,net_wealth
25,384410.6,340553.09645060153,240016.41093750013
26,408337.9,918024.5450763194,257183.5242598881
27,447537.53,1190031.817691525,292398.13959771907
28,471709.9,1473372.7266656978,340670.40630155173
29,505021.56,1756713.6356398705,424275.3539271244
30,531154.6,1983386.3628192083,465061.11874999985
31,559898.56,2210059.0899985465,538813.775
32,587887.9,2380063.63538305,636271.7367400939
33,609928.6,2493399.998972719,703344.0
34,636213.7,2606736.362562388,778133.1937867061
35,660840.3,2776740.9079468916,880176.4704468916
36,685142.2,2900730.8897139872,942578.649877102
37,712286.9,3060081.8169210646,1098897.3999027838
38,734191.94,3230086.362305568,1205799.4928456177
39,749673.0,3286754.5441004024,1332531.373895673
40,771652.56,3456759.0894849063,1461450.946292582
41,788714.4,3513427.2712797406,1612116.3057675536
42,809968.1,3626763.6348694097,1707993.9076900715
43,829169.44,3740099.998459079,1856993.1181391436
44,839425.6,3796768.180253913,2012168.6278177546
45,846257.8,3853436.362048748,2112063.25
46,854291.2,3910104.5438435823,2319945.804277997
47,854079.44,3966772.7256384166,2374825.0622020904
48,864315.8,4048374.907422987,2543222.669870863
49,864458.75,4136777.2710229205,2605592.930125503
50,864869.7,4295810.880048309,2786037.8028691225
51,857601.75,4250113.634612589,2891231.8966649706
52,851703.0,4352116.361843292,2967161.044614043
53,851061.2,4395184.180007378,3135108.1538655823
54,834029.3,4363449.998202259,3269402.999126812
55,828898.4,4420118.179997093,3428797.1075359797
56,825995.8,4505120.452689345,3494060.8390996754
57,808667.3,4476786.361791927,3575396.0171213886
58,805103.25,4476786.361791927,3678376.6805107333
59,790757.9,4420118.179997093,3727578.0326130283
60,786216.56,4440863.225443093,3915281.5752788708
61,751478.56,4255780.452792073,3906161.435013405
62,748807.1,4250113.634612589,4035847.3885089913
63,727343.4,4363449.998202259,4149103.155844599
64,704875.44,4250113.634612589,4365728.558357805
65,691059.06,4273698.825511965,4430331.226129716
66,654488.2,4193445.452817755,4515004.223400941
67,636213.5,4136777.2710229205,4611450.3655547835
68,603553.0,4136777.2710229205,4572289.707125068
69,588106.0,4080109.0892280857,4594050.998613171
70,564228.7,3862945.241590283,4529454.935306003
71,534910.56,3677764.2893938515,4344564.208183167
72,520503.62,3624768.9621429606,4282364.1493836325
73,497024.0,3456759.0894849063,4167021.681075738
74,461434.3,3191835.339594055,3913738.498895673
75,444152.97,3003413.63512623,3882519.6813325575
