fam_age,inc,property_value,net_wealth
25,148115.61,0.0,-276984.134375
26,155996.56,0.0,-324580.946875
27,168094.39,0.0,-410551.71875
28,177551.16,0.0,-457947.625
29,194411.75,0.0,-515048.30360188347
30,206421.9,0.0,-568715.0249999999
31,215497.97,0.0,-602443.5594364491
32,225678.36,0.0,-627639.0364514221
33,237375.33,0.0,-648440.3125
34,244498.95,0.0,-663209.9199167151
35,252029.45,0.0,-696593.8242698793
36,264894.1,0.0,-710961.6489048189
37,273406.0,0.0,-701165.0883016547
38,279460.97,0.0,-716333.675
39,286187.5,0.0,-710153.3732880746
40,297806.03,0.0,-741306.7608654965
41,299860.3,0.0,-711061.292763059
42,301991.5,0.0,-698765.75
43,305377.16,0.0,-690489.625
44,308609.38,0.0,-661001.6347959973
45,302213.2,0.0,-658793.6875
46,302132.2,0.0,-649719.6231802102
47,298477.7,0.0,-649817.2036230434
48,303202.56,0.0,-641110.21875
49,307873.88,0.0,-626747.1513152951
50,303996.38,0.0,-614492.7287312836
51,296591.12,0.0,-586943.46875
52,296821.94,0.0,-590399.6875
53,292354.72,0.0,-529084.468668545
54,293539.8,0.0,-504647.2108856664
55,288999.2,0.0,-499604.29375
56,288164.9,0.0,-459277.5625
57,289028.38,0.0,-419574.8412723748
58,291780.25,0.0,-399178.25213254686
59,284588.12,0.0,-382411.709375
60,283272.8,0.0,-300698.415635085
61,279866.06,0.0,-267824.08956596156
62,271158.72,0.0,-229378.1464220572
63,265667.47,0.0,-203531.83437499998
64,263747.0,0.0,-164401.37031249996
65,249638.77,0.0,-106557.85156249999
66,236269.47,0.0,-82054.52143289355
67,227546.73,0.0,-57580.95540697225
68,213235.34,0.0,-49134.55046227637
69,195802.81,0.0,-34925.053125000006
70,153784.5,0.0,-30050.073828124987
71,118491.92,0.0,-21976.849938081366
72,102904.836,0.0,-22204.877343749973
73,95756.63,0.0,-26491.416015625
74,91797.375,0.0,-12879.849609375
75,90201.055,0.0,-7374.326367187499
